date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:38:51	13113/13113	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Apr%202022%2014:30:18%20GMT	https://html.tavonline.co/hagen/without-wrapper/index.html	C:/My%20Web%20Sites/J_without_wallpaper/HTML_TAV/HAGEN/WITHOUT_/INDEX.HTM	(from )
12:38:51	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:54:56%20GMT	https://html.tavonline.co/robots.txt		(from )
12:38:52	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:54:56%20GMT	https://html.tavonline.co/hagen/without-wrapper/favicon.ico	C:/My%20Web%20Sites/J_without_wallpaper/HTML_TAV/HAGEN/WITHOUT_/FAVICON.ICO	(from https://html.tavonline.co/hagen/without-wrapper/index.html)
12:38:52	816/816	---MC-	200	added ('OK')	text/css	date:Sat,%2016%20Jul%202022%2007:11:42%20GMT	https://fonts.googleapis.com/css2?family=Poppins:wght@400;500;600;700&display=swap	C:/My%20Web%20Sites/J_without_wallpaper/FONTS_GO/CSS29344.CSS	(from https://html.tavonline.co/hagen/without-wrapper/index.html)
12:38:52	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Jul%202022%2007:11:42%20GMT	https://fonts.googleapis.com/	C:/My%20Web%20Sites/J_without_wallpaper/FONTS_GO/INDEX.HTM	(from https://html.tavonline.co/hagen/without-wrapper/index.html)
12:38:52	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Jul%202022%2007:11:42%20GMT	https://fonts.gstatic.com/	C:/My%20Web%20Sites/J_without_wallpaper/FONTS_GS/INDEX.HTM	(from https://html.tavonline.co/hagen/without-wrapper/index.html)
12:38:53	45828/45828	---M--	200	added ('OK')	text/css	date:Fri,%2001%20Apr%202022%2014:30:18%20GMT	https://html.tavonline.co/hagen/without-wrapper/css/main.css	C:/My%20Web%20Sites/J_without_wallpaper/HTML_TAV/HAGEN/WITHOUT_/CSS/MAIN.CSS	(from https://html.tavonline.co/hagen/without-wrapper/index.html)
12:38:54	3132/3132	---M--	200	added ('OK')	text/css	date:Fri,%2001%20Apr%202022%2014:30:18%20GMT	https://html.tavonline.co/hagen/without-wrapper/icon-fonts/flat-icon/flaticon.css	C:/My%20Web%20Sites/J_without_wallpaper/HTML_TAV/HAGEN/WITHOUT_/ICON_FON/FLAT_ICO/FLATICON.CSS	(from https://html.tavonline.co/hagen/without-wrapper/index.html)
12:38:54	4411/4411	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Apr%202022%2014:30:18%20GMT	https://html.tavonline.co/hagen/without-wrapper/images/profile-loader.jpg	C:/My%20Web%20Sites/J_without_wallpaper/HTML_TAV/HAGEN/WITHOUT_/IMAGES/PROFILE_.JPG	(from https://html.tavonline.co/hagen/without-wrapper/index.html)
12:38:55	15860/15860	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Apr%202022%2014:30:18%20GMT	https://html.tavonline.co/hagen/without-wrapper/resume.html	C:/My%20Web%20Sites/J_without_wallpaper/HTML_TAV/HAGEN/WITHOUT_/RESUME.HTM	(from https://html.tavonline.co/hagen/without-wrapper/index.html)
12:38:55	11478/11478	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Apr%202022%2014:30:18%20GMT	https://html.tavonline.co/hagen/without-wrapper/portfolio.html	C:/My%20Web%20Sites/J_without_wallpaper/HTML_TAV/HAGEN/WITHOUT_/PORTFOLI.HTM	(from https://html.tavonline.co/hagen/without-wrapper/index.html)
12:38:55	10526/10526	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Apr%202022%2014:30:18%20GMT	https://html.tavonline.co/hagen/without-wrapper/blog.html	C:/My%20Web%20Sites/J_without_wallpaper/HTML_TAV/HAGEN/WITHOUT_/BLOG.HTM	(from https://html.tavonline.co/hagen/without-wrapper/index.html)
12:38:55	89220/89220	---M--	200	added ('OK')	text/css	date:Fri,%2001%20Apr%202022%2014:30:18%20GMT	https://html.tavonline.co/hagen/without-wrapper/icon-fonts/font-awesome/css/all.min.css	C:/My%20Web%20Sites/J_without_wallpaper/HTML_TAV/HAGEN/WITHOUT_/ICON_FON/FONT_AWE/CSS/ALL_MIN.CSS	(from https://html.tavonline.co/hagen/without-wrapper/index.html)
12:38:55	6943/6943	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Apr%202022%2014:30:18%20GMT	https://html.tavonline.co/hagen/without-wrapper/contact.html	C:/My%20Web%20Sites/J_without_wallpaper/HTML_TAV/HAGEN/WITHOUT_/CONTACT.HTM	(from https://html.tavonline.co/hagen/without-wrapper/index.html)
12:38:56	17350/17350	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Apr%202022%2014:30:18%20GMT	https://html.tavonline.co/hagen/without-wrapper/images/profile-2.jpg	C:/My%20Web%20Sites/J_without_wallpaper/HTML_TAV/HAGEN/WITHOUT_/IMAGES/PROFIL-2.JPG	(from https://html.tavonline.co/hagen/without-wrapper/index.html)
12:38:56	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2016%20Jul%202022%2007:11:46%20GMT	https://wa.me/987654321	C:/My%20Web%20Sites/J_without_wallpaper/WA/98765432.DEL.delayed	(from https://html.tavonline.co/hagen/without-wrapper/index.html)
12:39:02	7801/7801	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Apr%202022%2014:30:18%20GMT	https://html.tavonline.co/hagen/without-wrapper/images/comment-4.jpg	C:/My%20Web%20Sites/J_without_wallpaper/HTML_TAV/HAGEN/WITHOUT_/IMAGES/COMMENT_.JPG	(from https://html.tavonline.co/hagen/without-wrapper/index.html)
12:39:15	10063/10063	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Apr%202022%2014:30:18%20GMT	https://html.tavonline.co/hagen/without-wrapper/images/comment-1.jpg	C:/My%20Web%20Sites/J_without_wallpaper/HTML_TAV/HAGEN/WITHOUT_/IMAGES/COMMEN-4.JPG	(from https://html.tavonline.co/hagen/without-wrapper/index.html)
12:39:28	11972/11972	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Apr%202022%2014:30:18%20GMT	https://html.tavonline.co/hagen/without-wrapper/images/clients/client-3d.png	C:/My%20Web%20Sites/J_without_wallpaper/HTML_TAV/HAGEN/WITHOUT_/IMAGES/CLIENTS/CLIENT_3.PNG	(from https://html.tavonline.co/hagen/without-wrapper/index.html)
12:39:29	5013/5013	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Apr%202022%2014:30:18%20GMT	https://html.tavonline.co/hagen/without-wrapper/images/clients/client-4d.png	C:/My%20Web%20Sites/J_without_wallpaper/HTML_TAV/HAGEN/WITHOUT_/IMAGES/CLIENTS/CLIENT_4.PNG	(from https://html.tavonline.co/hagen/without-wrapper/index.html)
12:39:29	4969/4969	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Apr%202022%2014:30:18%20GMT	https://html.tavonline.co/hagen/without-wrapper/images/clients/client-5d.png	C:/My%20Web%20Sites/J_without_wallpaper/HTML_TAV/HAGEN/WITHOUT_/IMAGES/CLIENTS/CLIENT_5.PNG	(from https://html.tavonline.co/hagen/without-wrapper/index.html)
12:39:30	6961/6961	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Apr%202022%2014:30:18%20GMT	https://html.tavonline.co/hagen/without-wrapper/images/clients/client-6d.png	C:/My%20Web%20Sites/J_without_wallpaper/HTML_TAV/HAGEN/WITHOUT_/IMAGES/CLIENTS/CLIENT_6.PNG	(from https://html.tavonline.co/hagen/without-wrapper/index.html)
12:39:30	4742/4742	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Apr%202022%2014:30:18%20GMT	https://html.tavonline.co/hagen/without-wrapper/images/clients/client-7d.png	C:/My%20Web%20Sites/J_without_wallpaper/HTML_TAV/HAGEN/WITHOUT_/IMAGES/CLIENTS/CLIENT_7.PNG	(from https://html.tavonline.co/hagen/without-wrapper/index.html)
12:39:32	89501/89501	---M--	200	added ('OK')	application/javascript	date:Fri,%2001%20Apr%202022%2014:30:18%20GMT	https://html.tavonline.co/hagen/without-wrapper/js/jquery.js	C:/My%20Web%20Sites/J_without_wallpaper/HTML_TAV/HAGEN/WITHOUT_/JS/JQUERY.JS	(from https://html.tavonline.co/hagen/without-wrapper/index.html)
12:39:34	165001/165001	---MC-	200	added ('OK')	text/javascript	date:Sat,%2016%20Jul%202022%2007:12:24%20GMT	https://maps.googleapis.com/maps/api/js?key=AIzaSyB3gqyHylICdokv-P1q2WtRihCFhiFnm_U&sensor=false	C:/My%20Web%20Sites/J_without_wallpaper/MAPS_GOO/MAPS/API/JSAA8E	(from https://html.tavonline.co/hagen/without-wrapper/index.html)
12:39:35	7289/7289	---M--	200	added ('OK')	application/javascript	date:Fri,%2001%20Apr%202022%2014:30:18%20GMT	https://html.tavonline.co/hagen/without-wrapper/js/map.js	C:/My%20Web%20Sites/J_without_wallpaper/HTML_TAV/HAGEN/WITHOUT_/JS/MAP.JS	(from https://html.tavonline.co/hagen/without-wrapper/index.html)
12:39:35	394451/394451	---M--	200	added ('OK')	application/javascript	date:Fri,%2001%20Apr%202022%2014:30:18%20GMT	https://html.tavonline.co/hagen/without-wrapper/js/plugins.js	C:/My%20Web%20Sites/J_without_wallpaper/HTML_TAV/HAGEN/WITHOUT_/JS/PLUGINS.JS	(from https://html.tavonline.co/hagen/without-wrapper/index.html)
12:39:35	11443/11443	---M--	200	added ('OK')	application/javascript	date:Fri,%2001%20Apr%202022%2014:30:18%20GMT	https://html.tavonline.co/hagen/without-wrapper/js/main.js	C:/My%20Web%20Sites/J_without_wallpaper/HTML_TAV/HAGEN/WITHOUT_/JS/MAIN.JS	(from https://html.tavonline.co/hagen/without-wrapper/index.html)
12:39:36	51/51	---MCZ	200	added ('OK')	text/plain	date:Sat,%2016%20Jul%202022%2007:12:25%20GMT	https://fonts.googleapis.com/robots.txt		(from https://html.tavonline.co/hagen/without-wrapper/index.html)
12:39:36	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Jul%202022%2007:12:26%20GMT	https://fonts.gstatic.com/robots.txt		(from https://html.tavonline.co/hagen/without-wrapper/index.html)
12:39:36	7037/7037	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Apr%202022%2014:30:18%20GMT	https://html.tavonline.co/hagen/without-wrapper/work-1.html	C:/My%20Web%20Sites/J_without_wallpaper/HTML_TAV/HAGEN/WITHOUT_/WORK_1.HTM	(from https://html.tavonline.co/hagen/without-wrapper/portfolio.html)
12:39:37	127731/127731	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Apr%202022%2014:30:18%20GMT	https://html.tavonline.co/hagen/without-wrapper/images/works/work-1/01.jpg	C:/My%20Web%20Sites/J_without_wallpaper/HTML_TAV/HAGEN/WITHOUT_/IMAGES/WORKS/WORK_1/01.JPG	(from https://html.tavonline.co/hagen/without-wrapper/portfolio.html)
12:39:39	7489/7489	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Apr%202022%2014:30:18%20GMT	https://html.tavonline.co/hagen/without-wrapper/work-2.html	C:/My%20Web%20Sites/J_without_wallpaper/HTML_TAV/HAGEN/WITHOUT_/WORK_2.HTM	(from https://html.tavonline.co/hagen/without-wrapper/portfolio.html)
12:39:39	27132/27132	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Apr%202022%2014:30:18%20GMT	https://html.tavonline.co/hagen/without-wrapper/images/works/work-2/01-grid.jpg	C:/My%20Web%20Sites/J_without_wallpaper/HTML_TAV/HAGEN/WITHOUT_/IMAGES/WORKS/WORK_2/01_GRID.JPG	(from https://html.tavonline.co/hagen/without-wrapper/portfolio.html)
12:39:40	8281/8281	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Apr%202022%2014:30:18%20GMT	https://html.tavonline.co/hagen/without-wrapper/work-8.html	C:/My%20Web%20Sites/J_without_wallpaper/HTML_TAV/HAGEN/WITHOUT_/WORK_8.HTM	(from https://html.tavonline.co/hagen/without-wrapper/portfolio.html)
12:39:40	41239/41239	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Apr%202022%2014:30:18%20GMT	https://html.tavonline.co/hagen/without-wrapper/images/works/work-8/03.jpg	C:/My%20Web%20Sites/J_without_wallpaper/HTML_TAV/HAGEN/WITHOUT_/IMAGES/WORKS/WORK_8/03.JPG	(from https://html.tavonline.co/hagen/without-wrapper/portfolio.html)
12:39:41	6249/6249	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Apr%202022%2014:30:18%20GMT	https://html.tavonline.co/hagen/without-wrapper/work-3.html	C:/My%20Web%20Sites/J_without_wallpaper/HTML_TAV/HAGEN/WITHOUT_/WORK_3.HTM	(from https://html.tavonline.co/hagen/without-wrapper/portfolio.html)
12:39:42	7607/7607	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20Apr%202022%2014:30:18%20GMT	https://html.tavonline.co/hagen/without-wrapper/work-4.html	C:/My%20Web%20Sites/J_without_wallpaper/HTML_TAV/HAGEN/WITHOUT_/WORK_4.HTM	(from https://html.tavonline.co/hagen/without-wrapper/portfolio.html)
